uid,participant_id,video_id,start_timestamp,stop_timestamp,start_action,stop_action,inactive,inactive_frame_name,action,noun,bbox_coords,contact_points,org_contact_points
12,P02,20250328T131521Z,18.04,24.72,452,619,623,P02_623_494_202_1292_1046.jpg,cut leafs,strawberry,"494, 202, 1292, 1046","(142, 290), (169, 300), (186, 305), (182, 281), (176, 263), (287, 203), (251, 249), (233, 262), (269, 234), (193, 292)","(779, 783), (832, 803), (867, 813), (858, 764), (847, 728), (1069, 609), (996, 700), (961, 727), (1032, 670), (881, 786)"
13,P03,20250507T084419Z,0,5,1,126,1,P03_1_710_56_1618_990.jpg,cut leafs,strawberry,"710, 56, 1618, 990","(40, 329), (97, 369), (73, 360), (61, 347), (39, 378), (48, 356), (174, 300), (186, 299), (202, 304), (221, 325)","(790, 714), (904, 794), (856, 777), (832, 751), (788, 813), (807, 768), (1059, 657), (1082, 654), (1114, 664), (1153, 706)"
14,P03,20250507T084419Z,5.4,12.32,136,309,134,P03_134_642_42_1746_1046.jpg,cut leafs,strawberry,"642, 42, 1746, 1046","(163, 270), (188, 293), (176, 286), (132, 237), (96, 253), (144, 261), (125, 251), (186, 279), (174, 264), (156, 251)","(969, 583), (1018, 629), (995, 614), (906, 517), (834, 549), (930, 564), (892, 544), (1015, 601), (990, 571), (954, 545)"
15,P03,20250507T084419Z,12.52,21.24,314,532,314,P03_314_612_20_1716_810.jpg,cut leafs,strawberry,"612, 20, 1716, 810","(189, 318), (179, 309), (166, 288), (148, 265), (124, 238), (181, 293), (166, 277), (156, 265), (213, 323), (236, 326)","(990, 656), (971, 638), (944, 596), (908, 551), (860, 496), (974, 606), (945, 574), (924, 551), (1039, 666), (1085, 673)"
16,P03,20250507T084419Z,22.24,27.08,557,678,557,P03_557_664_70_1548_774.jpg,cut leafs,strawberry,"664, 70, 1548, 774","(174, 320), (184, 297), (205, 294), (181, 287), (194, 286), (238, 299), (211, 284), (184, 277), (171, 269), (177, 277)","(1012, 710), (1033, 664), (1074, 659), (1026, 644), (1052, 642), (1140, 669), (1087, 638), (1032, 624), (1007, 608), (1019, 624)"
17,P03,20250507T084419Z,27.32,33.68,684,843,684,P03_684_772_58_1518_864.jpg,cut leafs,strawberry,"772, 58, 1518, 864","(73, 266), (80, 278), (6, 222), (20, 223), (34, 236), (23, 232), (104, 295), (92, 287), (148, 308), (135, 307)","(919, 590), (933, 614), (785, 502), (812, 505), (840, 531), (819, 522), (980, 649), (957, 632), (1068, 674), (1043, 672)"
18,P03,20250507T084419Z,34.12,37.76,854,945,853,P03_853_756_114_1580_862.jpg,turn pot,strawberry,"756, 114, 1580, 862","(102, 246), (107, 259), (120, 273), (132, 274), (112, 266), (103, 260), (97, 245), (101, 234), (101, 254), (115, 265)","(961, 607), (970, 633), (997, 661), (1020, 662), (980, 647), (963, 634), (950, 605), (958, 582), (959, 623), (986, 645)"
19,P03,20250507T084419Z,37.76,42.44,945,1062,1065,P03_1065_684_198_1566_856.jpg,cut leafs,strawberry,"684, 198, 1566, 856","(103, 193), (124, 195), (115, 191), (98, 188), (89, 193), (171, 226), (155, 215), (168, 226), (160, 212), (145, 202)","(890, 584), (933, 589), (914, 581), (880, 574), (862, 584), (1026, 650), (995, 629), (1020, 651), (1005, 623), (974, 603)"
20,P03,20250507T084419Z,42.64,49.12,1067,1229,1067,P03_1067_696_150_1566_854.jpg,cut leafs,strawberry,"696, 150, 1566, 854","(158, 250), (169, 258), (147, 243), (62, 231), (73, 213), (145, 228), (125, 217), (137, 232), (85, 213), (92, 202)","(1013, 651), (1035, 666), (991, 636), (820, 612), (843, 577), (987, 606), (946, 585), (971, 614), (867, 576), (881, 555)"
21,P03,20250507T084419Z,49.44,56.4,1237,1411,1223,P03_1223_686_70_1564_816.jpg,cut leafs,strawberry,"686, 70, 1564, 816","(179, 285), (171, 276), (112, 218), (101, 208), (74, 201), (65, 178), (76, 189), (94, 201), (165, 259), (165, 275)","(1044, 641), (1028, 622), (910, 506), (889, 487), (834, 472), (816, 426), (838, 448), (875, 472), (1017, 589), (1016, 621)"
22,P03,20250507T084419Z,56.8,66.28,1421,1658,1405,P03_1405_726_64_1548_826.jpg,cut leafs,strawberry,"726, 64, 1548, 826","(123, 254), (137, 275), (134, 297), (124, 277), (128, 263), (140, 262), (151, 261), (156, 287), (155, 303), (167, 270)","(973, 572), (1000, 615), (994, 659), (974, 618), (982, 591), (1007, 588), (1028, 586), (1039, 638), (1037, 670), (1061, 605)"
23,P03,20250507T084419Z,66.48,69.76,1663,1745,1415,P03_1415_666_66_1602_826.jpg,cut leafs,strawberry,"666, 66, 1602, 826","(174, 304), (178, 282), (154, 298), (166, 275), (225, 292), (210, 280), (187, 273), (204, 280), (254, 307), (238, 300)","(1014, 674), (1023, 631), (974, 662), (998, 617), (1117, 651), (1087, 626), (1040, 613), (1074, 627), (1174, 681), (1143, 666)"
24,P03,20250507T084419Z,70.16,74.88,1755,1873,1755,P03_1755_708_122_1550_856.jpg,cut leafs,strawberry,"708, 122, 1550, 856","(128, 212), (164, 233), (173, 260), (119, 269), (125, 227), (147, 258), (149, 230), (199, 248), (189, 239), (195, 250)","(965, 547), (1037, 589), (1055, 642), (947, 660), (959, 577), (1002, 639), (1007, 582), (1107, 619), (1086, 601), (1099, 622)"
25,P03,20250507T084419Z,75.36,81.16,1885,2030,1885,P03_1885_756_122_1464_844.jpg,cut leafs,strawberry,"756, 122, 1464, 844","(131, 247), (142, 260), (90, 175), (98, 179), (50, 192), (67, 187), (81, 181), (152, 230), (154, 244), (159, 254)","(1019, 616), (1041, 642), (936, 473), (952, 481), (857, 507), (890, 496), (919, 484), (1061, 583), (1064, 610), (1074, 630)"
26,P03,20250507T084419Z,82.88,84.12,2073,2104,2072,P03_2072_684_98_1610_948.jpg,move pot,strawberry,"684, 98, 1610, 948","(302, 258), (307, 275), (300, 288), (285, 373), (286, 338), (293, 316), (286, 306), (278, 325), (267, 353), (282, 336)","(1288, 614), (1298, 648), (1285, 675), (1255, 844), (1257, 774), (1270, 730), (1257, 711), (1240, 748), (1219, 804), (1248, 770)"
27,P03,20250507T084419Z,92.2,97.32,2306,2434,2304,P03_2304_610_34_1882_1022.jpg,cut leafs,strawberry,"610, 34, 1882, 1022","(186, 336), (203, 311), (242, 323), (250, 367), (217, 337), (263, 364), (274, 370), (302, 369), (314, 365), (238, 304)","(983, 707), (1016, 657), (1094, 681), (1110, 769), (1044, 709), (1137, 762), (1158, 775), (1214, 773), (1238, 765), (1087, 643)"
28,P03,20250507T084419Z,97.52,107.56,2439,2690,2438,P03_2438_658_96_1896_970.jpg,cut leafs,strawberry,"658, 96, 1896, 970","(101, 275), (143, 271), (43, 217), (96, 200), (74, 250), (123, 226), (181, 292), (175, 275), (338, 249), (314, 213)","(861, 647), (944, 638), (745, 531), (850, 497), (807, 597), (905, 549), (1020, 681), (1008, 647), (1335, 594), (1287, 523)"
29,P03,20250507T084419Z,108.6,110.88,2716,2773,2714,P03_2714_624_56_1902_998.jpg,cut leafs,strawberry,"624, 56, 1902, 998","(125, 327), (135, 313), (153, 308), (143, 324), (203, 319), (197, 306), (380, 288), (357, 261), (337, 238), (349, 259)","(875, 710), (895, 682), (931, 673), (910, 704), (1031, 694), (1018, 668), (1385, 633), (1338, 579), (1298, 533), (1322, 575)"
30,P03,20250507T084419Z,111.04,114,2777,2851,2777,P03_2777_766_62_1898_1060.jpg,turn pot,strawberry,"766, 62, 1898, 1060","(120, 335), (130, 349), (142, 362), (144, 377), (112, 333), (120, 349), (136, 363), (153, 368), (168, 374), (153, 375)","(1007, 732), (1027, 760), (1051, 786), (1054, 816), (991, 729), (1007, 760), (1039, 788), (1072, 799), (1102, 810), (1072, 812)"
31,P03,20250507T084419Z,114.04,117.56,2852,2940,2948,P03_2948_770_94_1634_1014.jpg,cut leafs,strawberry,"770, 94, 1634, 1014","(99, 202), (118, 224), (129, 242), (135, 258), (142, 273), (157, 299), (108, 220), (166, 333), (184, 342), (175, 322)","(969, 499), (1006, 543), (1029, 579), (1041, 610), (1054, 640), (1085, 692), (987, 535), (1103, 761), (1139, 778), (1120, 739)"
32,P03,20250507T084419Z,118.48,123.16,2963,3080,2963,P03_2963_744_36_1544_1018.jpg,cut leafs,strawberry,"744, 36, 1544, 1018","(129, 363), (116, 350), (122, 325), (101, 322), (88, 323), (67, 309), (150, 363), (176, 356), (192, 360), (160, 360)","(1002, 763), (976, 736), (988, 687), (946, 681), (920, 683), (879, 654), (1044, 763), (1097, 748), (1129, 756), (1064, 757)"
33,P03,20250507T084419Z,123.36,127.48,3085,3188,3082,P03_3082_650_78_1518_938.jpg,cut leafs,strawberry,"650, 78, 1518, 938","(164, 309), (178, 328), (193, 310), (232, 351), (210, 349), (108, 285), (116, 289), (90, 281), (102, 284), (194, 339)","(978, 697), (1006, 735), (1037, 699), (1115, 780), (1070, 777), (867, 648), (883, 657), (831, 641), (854, 646), (1038, 756)"
34,P03,20250507T084419Z,127.64,133.4,3192,3336,3192,P03_3192_678_36_1600_1014.jpg,cut leafs,strawberry,"678, 36, 1600, 1014","(159, 341), (155, 330), (152, 314), (190, 322), (180, 306), (146, 289), (132, 278), (118, 263), (105, 249), (92, 234)","(997, 718), (988, 697), (983, 664), (1059, 680), (1039, 649), (971, 615), (943, 592), (914, 563), (889, 534), (862, 505)"
35,P03,20250507T084419Z,133.6,139.76,3341,3495,3492,P03_3492_684_58_1606_914.jpg,cut leafs,strawberry,"684, 58, 1606, 914","(168, 302), (178, 313), (194, 324), (198, 317), (188, 309), (167, 293), (155, 288), (147, 280), (138, 271), (133, 266)","(1020, 663), (1040, 685), (1073, 707), (1080, 692), (1061, 676), (1018, 644), (995, 635), (978, 619), (961, 601), (950, 590)"
36,P03,20250507T084419Z,139.92,143.36,3499,3585,3499,P03_3499_694_82_1624_912.jpg,cut leafs,strawberry,"694, 82, 1624, 912","(102, 230), (112, 237), (124, 245), (98, 241), (175, 298), (187, 302), (193, 312), (178, 309), (187, 312), (108, 241)","(899, 543), (919, 556), (942, 572), (891, 564), (1044, 679), (1069, 686), (1080, 707), (1051, 701), (1068, 707), (911, 564)"
37,P03,20250507T084419Z,143.44,146.44,3587,3662,3586,P03_3586_666_104_1620_902.jpg,cut leafs,strawberry,"666, 104, 1620, 902","(100, 290), (113, 278), (124, 269), (137, 268), (156, 272), (173, 275), (190, 277), (185, 297), (201, 305), (214, 314)","(867, 684), (893, 661), (914, 643), (941, 641), (978, 649), (1012, 655), (1047, 659), (1037, 698), (1069, 714), (1094, 732)"
38,P03,20250507T084419Z,146.56,150.96,3665,3775,3664,P03_3664_622_64_1638_956.jpg,cut leafs,strawberry,"622, 64, 1638, 956","(71, 211), (94, 217), (103, 221), (111, 230), (101, 210), (198, 288), (206, 292), (212, 299), (218, 319), (227, 326)","(765, 486), (810, 498), (829, 506), (844, 524), (824, 485), (1018, 640), (1034, 648), (1047, 663), (1058, 703), (1076, 716)"
39,P03,20250507T084419Z,151.04,155.64,3777,3892,3776,P03_3776_768_96_1566_974.jpg,turn pot,strawberry,"768, 96, 1566, 974","(117, 271), (118, 283), (126, 295), (135, 301), (136, 312), (127, 314), (120, 299), (129, 337), (127, 324), (124, 307)","(1002, 639), (1004, 663), (1020, 687), (1038, 699), (1040, 721), (1023, 725), (1009, 695), (1027, 770), (1023, 744), (1017, 710)"
40,P03,20250507T084419Z,156.32,157.76,3909,3945,3909,P03_3909_698_100_1580_1018.jpg,move pot,strawberry,"698, 100, 1580, 1018","(254, 336), (261, 334), (269, 314), (274, 295), (269, 319), (266, 330), (262, 343), (259, 365), (256, 352), (262, 326)","(1206, 773), (1220, 769), (1237, 729), (1247, 691), (1237, 739), (1230, 761), (1222, 786), (1217, 831), (1210, 805), (1223, 752)"
41,P03,20250507T084419Z,168.32,171.04,4209,4277,4208,P03_4208_592_176_1696_1064.jpg,turn pot,strawberry,"592, 176, 1696, 1064","(359, 305), (344, 319), (353, 314), (350, 331), (346, 346), (343, 365), (331, 325), (342, 330), (349, 328), (344, 341)","(1310, 787), (1280, 814), (1298, 805), (1293, 838), (1285, 869), (1279, 906), (1255, 827), (1276, 837), (1290, 833), (1280, 858)"
42,P03,20250507T084419Z,172.52,178.48,4314,4463,4313,P03_4313_592_156_1614_1054.jpg,cut leafs,strawberry,"592, 156, 1614, 1054","(183, 313), (200, 320), (217, 315), (240, 310), (269, 304), (258, 305), (297, 309), (315, 302), (327, 267), (354, 281)","(959, 782), (992, 797), (1027, 787), (1072, 777), (1131, 764), (1108, 767), (1186, 774), (1222, 761), (1246, 691), (1301, 719)"
43,P03,20250507T084419Z,178.72,186.36,4469,4660,4464,P03_4464_616_172_1616_992.jpg,cut leafs,strawberry,"616, 172, 1616, 992","(179, 290), (165, 286), (174, 285), (74, 198), (82, 202), (85, 206), (66, 198), (181, 277), (87, 182), (83, 194)","(974, 753), (947, 744), (964, 742), (764, 569), (780, 577), (786, 585), (749, 568), (978, 727), (791, 537), (783, 560)"
44,P03,20250507T084419Z,186.52,194.2,4664,4856,4865,P03_4865_572_118_1650_966.jpg,cut leafs,strawberry,"572, 118, 1650, 966","(235, 307), (221, 296), (213, 288), (147, 260), (154, 271), (136, 267), (149, 266), (200, 277), (210, 279), (225, 287)","(1042, 732), (1015, 711), (998, 695), (867, 639), (881, 661), (844, 653), (870, 650), (972, 673), (993, 677), (1022, 692)"
45,P03,20250507T084419Z,194.92,201.4,4874,5036,4874,P03_4874_652_136_1626_962.jpg,cut leafs,strawberry,"652, 136, 1626, 962","(183, 289), (169, 282), (165, 270), (88, 254), (96, 248), (107, 250), (118, 254), (166, 263), (177, 266), (187, 272)","(1018, 715), (990, 700), (982, 677), (829, 645), (844, 633), (866, 637), (888, 645), (985, 662), (1006, 669), (1026, 680)"
46,P03,20250507T084419Z,201.96,209.36,5050,5235,5049,P03_5049_692_186_1592_984.jpg,cut leafs,strawberry,"692, 186, 1592, 984","(123, 256), (128, 260), (135, 269), (74, 226), (84, 230), (91, 234), (63, 232), (225, 285), (211, 286), (152, 263)","(938, 698), (948, 707), (962, 725), (840, 638), (861, 647), (874, 654), (818, 651), (1142, 757), (1115, 759), (997, 713)"
47,P03,20250507T084419Z,210,213.84,5251,5347,5251,P03_5251_764_124_1644_974.jpg,turn pot,strawberry,"764, 124, 1644, 974","(94, 281), (104, 291), (112, 296), (121, 301), (102, 295), (110, 303), (116, 311), (108, 310), (111, 314), (115, 303)","(953, 687), (973, 706), (989, 717), (1006, 726), (969, 714), (984, 730), (996, 747), (980, 744), (987, 753), (994, 730)"
48,P03,20250507T084419Z,213.92,219.68,5349,5493,5492,P03_5492_710_174_1732_1028.jpg,cut leafs,strawberry,"710, 174, 1732, 1028","(70, 271), (81, 276), (89, 276), (99, 274), (145, 257), (155, 256), (170, 290), (177, 296), (185, 296), (195, 300)","(850, 716), (873, 727), (888, 727), (908, 722), (1000, 689), (1020, 687), (1051, 755), (1064, 767), (1081, 767), (1100, 774)"
49,P03,20250507T084419Z,220.2,224.64,5506,5617,5506,P03_5506_690_150_1636_1030.jpg,cut leafs,strawberry,"690, 150, 1636, 1030","(69, 298), (74, 293), (84, 291), (76, 278), (124, 273), (131, 266), (142, 268), (142, 285), (147, 292), (162, 303)","(829, 746), (838, 736), (859, 733), (842, 707), (939, 697), (953, 682), (974, 687), (974, 720), (985, 735), (1015, 756)"
50,P03,20250507T084419Z,224.72,232.4,5619,5811,5617,P03_5617_694_142_1574_1018.jpg,cut leafs,strawberry,"694, 142, 1574, 1018","(142, 298), (137, 283), (137, 273), (92, 216), (98, 227), (103, 232), (178, 325), (164, 321), (98, 212), (154, 312)","(979, 738), (969, 709), (968, 688), (878, 575), (891, 596), (900, 607), (1050, 792), (1022, 784), (890, 567), (1002, 766)"
51,P03,20250507T084419Z,232.68,238.88,5818,5973,5814,P03_5814_766_148_1594_970.jpg,cut leafs,strawberry,"766, 148, 1594, 970","(64, 242), (72, 237), (84, 238), (78, 244), (161, 292), (152, 287), (150, 283), (161, 282), (159, 280), (78, 238)","(894, 633), (910, 622), (935, 624), (922, 636), (1088, 732), (1071, 723), (1067, 715), (1089, 712), (1084, 708), (922, 625)"
52,P03,20250507T084419Z,241.24,242.64,6032,6067,6032,P03_6032_708_192_1564_1062.jpg,move pot,strawberry,"708, 192, 1564, 1062","(274, 327), (280, 313), (253, 315), (261, 315), (267, 310), (275, 272), (277, 281), (273, 336), (271, 349), (271, 361)","(1257, 846), (1268, 818), (1214, 823), (1230, 823), (1243, 813), (1258, 736), (1263, 755), (1255, 865), (1251, 891), (1251, 915)"
53,P03,20250507T084419Z,251.52,256.4,6289,6411,6287,P03_6287_520_208_1760_1024.jpg,cut leafs,strawberry,"520, 208, 1760, 1024","(125, 203), (109, 202), (90, 204), (98, 222), (105, 213), (200, 255), (208, 259), (225, 276), (231, 278), (248, 285)","(770, 614), (738, 612), (700, 617), (716, 653), (731, 634), (920, 718), (937, 726), (970, 761), (983, 765), (1016, 779)"
54,P03,20250507T084419Z,256.52,265.04,6414,6627,6414,P03_6414_698_122_1722_948.jpg,cut leafs,strawberry,"698, 122, 1722, 948","(145, 301), (140, 292), (135, 285), (31, 223), (41, 220), (59, 214), (68, 212), (139, 275), (144, 279), (132, 269)","(989, 724), (978, 707), (968, 692), (760, 568), (781, 562), (816, 551), (835, 547), (976, 672), (986, 681), (962, 661)"
55,P03,20250507T084419Z,265.52,273.96,6639,6850,6848,P03_6848_628_216_1496_938.jpg,cut leafs,strawberry,"628, 216, 1496, 938","(206, 237), (215, 239), (226, 244), (104, 209), (125, 211), (140, 203), (153, 189), (221, 207), (227, 205), (224, 193)","(1040, 690), (1058, 695), (1080, 705), (837, 634), (878, 639), (908, 623), (935, 595), (1071, 630), (1083, 626), (1076, 602)"
56,P03,20250507T084419Z,274.04,281.88,6852,7048,6849,P03_6849_660_128_1584_930.jpg,cut leafs,strawberry,"660, 128, 1584, 930","(119, 253), (131, 245), (142, 232), (155, 212), (211, 246), (215, 252), (220, 258), (273, 299), (282, 297), (288, 296)","(899, 634), (923, 619), (945, 592), (971, 552), (1083, 621), (1090, 632), (1100, 644), (1207, 726), (1225, 722), (1237, 720)"
57,P03,20250507T084419Z,282.88,287.64,7073,7192,7068,P03_7068_616_218_1612_962.jpg,cut leafs,strawberry,"616, 218, 1612, 962","(102, 351), (125, 339), (130, 318), (127, 287), (113, 272), (178, 216), (183, 214), (244, 250), (254, 250), (264, 251)","(820, 920), (867, 897), (877, 855), (871, 793), (842, 762), (972, 650), (982, 647), (1105, 719), (1124, 718), (1145, 720)"
58,P03,20250507T084419Z,288.52,294.92,7214,7374,7212,P03_7212_590_218_1554_940.jpg,cut leafs,strawberry,"590, 218, 1554, 940","(192, 244), (182, 237), (77, 217), (89, 211), (92, 198), (94, 182), (99, 183), (182, 221), (172, 215), (181, 213)","(975, 706), (955, 693), (744, 653), (768, 641), (775, 615), (778, 583), (789, 584), (954, 660), (934, 648), (952, 645)"
59,P03,20250507T084419Z,294.96,300.68,7375,7518,7522,P03_7522_714_100_1546_918.jpg,cut leafs,strawberry,"714, 100, 1546, 918","(163, 292), (174, 291), (193, 293), (183, 269), (178, 262), (85, 280), (95, 269), (99, 249), (103, 227), (118, 219)","(1041, 684), (1062, 683), (1100, 687), (1080, 639), (1070, 625), (885, 661), (904, 639), (912, 598), (921, 555), (950, 539)"
60,P03,20250507T084419Z,301.04,306.44,7527,7662,7518,P03_7518_706_172_1566_900.jpg,cut leafs,strawberry,"706, 172, 1566, 900","(75, 251), (96, 241), (104, 214), (108, 192), (172, 220), (184, 228), (191, 231), (199, 257), (210, 256), (227, 255)","(856, 674), (899, 655), (914, 600), (923, 557), (1051, 612), (1074, 629), (1088, 635), (1104, 686), (1127, 684), (1160, 682)"
61,P03,20250507T084419Z,308.36,309.56,7710,7740,7710,P03_7710_736_194_1604_1036.jpg,move pot,strawberry,"736, 194, 1604, 1036","(264, 254), (264, 265), (261, 276), (256, 285), (249, 329), (249, 317), (252, 302), (246, 311), (249, 298), (251, 289)","(1264, 702), (1265, 725), (1258, 747), (1248, 764), (1234, 852), (1234, 828), (1240, 798), (1228, 817), (1235, 791), (1239, 772)"
62,P03,20250507T084419Z,326.68,333.4,8168,8336,8167,P03_8167_692_0_1656_822.jpg,cut leafs,strawberry,"692, 0, 1656, 822","(168, 304), (173, 317), (184, 324), (116, 219), (119, 227), (107, 213), (112, 222), (176, 303), (167, 295), (123, 229)","(1029, 608), (1039, 634), (1060, 648), (924, 438), (930, 455), (906, 427), (917, 444), (1044, 607), (1026, 590), (938, 458)"
63,P03,20250507T084419Z,333.8,339.48,8346,8488,8340,P03_8340_706_8_1610_978.jpg,cut leafs,strawberry,"706, 8, 1610, 978","(110, 213), (118, 204), (117, 224), (125, 235), (218, 341), (212, 344), (201, 341), (157, 289), (166, 291), (170, 296)","(927, 435), (943, 417), (941, 457), (956, 478), (1142, 690), (1131, 697), (1109, 690), (1021, 586), (1038, 591), (1047, 600)"
64,P03,20250507T084419Z,339.96,348.64,8500,8717,8496,P03_8496_656_44_1604_950.jpg,cut leafs,strawberry,"656, 44, 1604, 950","(215, 342), (228, 338), (243, 343), (96, 210), (104, 213), (119, 218), (126, 226), (183, 270), (188, 279), (184, 279)","(1086, 728), (1113, 720), (1142, 730), (848, 465), (865, 470), (895, 480), (908, 497), (1022, 584), (1032, 602), (1024, 602)"
65,P03,20250507T084419Z,348.76,356.04,8720,8902,8716,P03_8716_754_28_1640_940.jpg,cut leafs,strawberry,"754, 28, 1640, 940","(17, 240), (30, 238), (41, 237), (50, 236), (149, 298), (162, 298), (173, 306), (204, 347), (216, 347), (226, 347)","(788, 509), (814, 505), (837, 502), (855, 500), (1052, 625), (1078, 625), (1100, 641), (1162, 723), (1187, 723), (1207, 723)"
66,P03,20250507T084419Z,357.64,359.08,8942,8978,8942,P03_8942_596_98_1598_1048.jpg,move pot,strawberry,"596, 98, 1598, 1048","(300, 346), (314, 338), (320, 320), (323, 312), (324, 295), (328, 309), (324, 325), (319, 349), (316, 355), (309, 343)","(1196, 791), (1224, 775), (1237, 738), (1242, 722), (1245, 689), (1252, 717), (1245, 748), (1234, 796), (1228, 808), (1214, 784)"
67,P04,20250512T065908Z,4.04,8.88,102,223,89,P04_89_582_402_1470_1078.jpg,cut leafs,strawberry,"582, 402, 1470, 1078","(83, 241), (85, 232), (77, 226), (84, 227), (92, 229), (98, 230), (158, 224), (167, 224), (172, 223), (175, 224)","(748, 885), (752, 867), (736, 855), (751, 857), (767, 861), (779, 863), (899, 850), (917, 850), (927, 848), (933, 851)"
68,P04,20250512T065908Z,10.44,15,262,376,261,P04_261_638_358_1544_1072.jpg,cut leafs,strawberry,"638, 358, 1544, 1072","(70, 174), (72, 167), (72, 156), (63, 156), (75, 173), (76, 179), (132, 221), (139, 224), (146, 229), (152, 234)","(778, 707), (782, 693), (782, 670), (765, 671), (789, 705), (791, 717), (903, 800), (916, 806), (930, 816), (942, 827)"
